zpid,description_length,waterfront_linear_ft,dock_linear_ft,no_fixed_bridges,waterfront_type,any_length
448038572,,,,FALSE,ocean; river,
448060463,Dock Length: 100,,100,FALSE,canal; gulf; waterfront,100
448083661,side has 50 feet of frontage,50,,FALSE,bay; canal; waterfront,50
448083686,Dock Length: 125,,125,FALSE,bay; canal; waterfront,125
448119901,,,,FALSE,ocean,
448124256,Dock Length: 220,,220,FALSE,intracoastal; bay; ocean; canal; waterfront,220
448165794,,,,FALSE,,
448185194,,,,FALSE,,
448210637,Dock Length: 60,,60,FALSE,canal; waterfront,60
448293365,,,,FALSE,canal; waterfront,
448303885,and offers 50 feet of dockage,,50,FALSE,bay; canal; waterfront,50
448334163,40' slips with beams,,40,TRUE,ocean; river,40
448417853,,,,FALSE,ocean,
448437500,,,,FALSE,ocean,
448459198,on approximate 100 ft wide canal,,100,FALSE,canal; waterfront,100
448490290,,,,FALSE,ocean; waterfront,
448492421,an  impressive 100 feet of DEEP,,,FALSE,ocean; canal; waterfront,
448543581,Dock Length: 70,,70,FALSE,bay; ocean; canal; waterfront,70
448691234,Concrete Dock 75 Ft,,875,FALSE,bay; ocean; canal; waterfront,875
448742431,Dock Length: 150,,150,FALSE,ocean; canal; gulf; waterfront,150
448744102,with a 40 foot dock,,40,FALSE,ocean; waterfront,40
448986212,,,,FALSE,ocean,
449121615,,,,FALSE,bay; ocean; waterfront,
449330190,and a 40 foot dock,,40,FALSE,ocean; waterfront,40
449330561,with a 40 foot dock,,40,FALSE,ocean; waterfront,40
449629422,,,,FALSE,,
449647039,,,,FALSE,waterfront,
449651490,lift on 80 feet of waterfrontage,,,FALSE,waterfront,
449851157,Dock Length: 400,,400,FALSE,bay; ocean; waterfront,400
449851203,,,,FALSE,bay; ocean; canal; waterfront,
449851247,Dock Length: 400,,400,FALSE,ocean; waterfront,400
